Data Extract Date,Portfolio,Loan ID,Property ID,Original Balance,Current Balance,Arrears Balance,Months in Arrears,CMS,Current LTV,Original LTV,Latest Valuation Amount,Latest Valuation Date,Fitch Product Category,Originator Product Category,Further Advance,Completion Date,Original Term,Maturity Date,Interest Rate Type,Current Index,Reversionary Index,Current Interest Rate,Current Margin,Reversionary Margin,Reversion Date,Loan Purpose,Repayment Type,FTB Flag,RTB Flag,Self Cert Flag,Property Type,Occupancy,Region,Tenure,Bankruptcy Marker,No of CCJs,Value of CCJs,Income Borrower 1,Income Borrower 2,Index Reference Rate,Originator,Possession Flag
198705,3780858.82,9742242.06,5441940.3,89709174.08,97209880.57,5505032.35,44744.91,39727.77,9.8,8.46,148848212.62,19840209,L,Biggest Yacht,Y,23490531,33.98,23861120,fixed,FIX,OTH,69.7,0.53,0.48,19870525,OT,PP,N,N,Y,BU,POW,UK,Feudal,N,1.13,25539.92,71618.01,7926468.41,7.35,SPML,Somewhat possessive
199702,8608922.24,9589172.7,7888370.65,157549703.41,76821367.15,64715054.66,69594.29,16557.89,12.33,14.15,56956012.21,19820927,N,Bungaloo,N,21130331,22.19,23601003,fixed,OTH,SVR,27.4,1.99,0.27,19920208,RD,ND,Y,Y,Y,BU,POW,UK,Leasehold,Y,3.48,45006.57,41450.15,8878248.78,8.52,Verso,Super chill
200702,6042395.38,2295748.01,6969956.66,8630517.6,112019778.2,59331848.99,15239.85,5557.29,16.65,5.31,2769740.19,20020615,B,Bank,N,21941231,5.59,21510131,fixed,FIX,SVR,57.33,1.7,-0.41,22630306,CO,PP,Y,Y,N,SD,OWN,UK,Feudal,Y,0.45,18228.4,67345.76,739473.38,9.01,GMAC,Somewhat possessive
199106,8934172.55,5189695.46,5249588.47,110926314.98,130519867.25,24513688.43,95713.61,93519.52,13.75,19.03,132845001.29,20170813,M,Awesome Yacht,Y,21380527,46.11,23411118,floating,OTH,3ML,67.68,-0.37,0.6,20161225,CO,RE,Y,Y,N,FD,BTL,UK,Freehold,Y,0.15,97394.8,61773.48,9282435.53,3.95,GMAC,Clingy
199001,8211510.37,5524296.62,5809608.24,170231205.36,80163368.66,92174164.17,15844.87,43376.42,7.14,15.67,16659353.81,20100301,L,House,N,23941215,47.9,23120207,fixed,BBR,3ML,91.59,0.35,0.31,22670105,RD,ND,N,Y,N,OT,POW,US,Freehold,Y,1.1,3872.28,88971.41,7726690.0,8.06,Platform,Never calls
198808,390038.22,7233846.54,9465899.38,48069593.97,93519255.24,73100471.57,42620.62,16355.45,10.51,11.71,75683874.99,19881003,B,Awesome Yacht,N,22641203,12.93,21860103,fixed,FIX,OTH,2.29,1.24,-1.19,22841209,PU,PP,N,N,Y,TH,POW,UK,Feudal,Y,1.71,9148.28,37551.6,8964111.53,10.91,Platform,Somewhat possessive
199808,7589662.73,2521479.14,9206973.05,70027808.4,1049138.35,13974810.4,13754.09,47712.18,5.8,9.4,117962360.34,20160414,M,Awesome Yacht,N,23700209,5.28,22370602,fixed,1ML,BBR,80.3,-0.88,0.87,21220917,OT,OT,N,Y,N,BU,ND,UK,Feudal,N,0.28,14288.53,69891.75,7229380.77,13.91,Platform,Somewhat possessive
198809,4085111.16,8149554.84,7064247.55,37262423.31,169095424.89,88737124.07,37379.74,55083.82,10.34,18.09,188319631.06,20101011,L,Awesome Yacht,N,23720809,11.25,22460515,floating,SVR,FIX,26.03,-0.39,-0.26,23300823,ND,ND,N,Y,N,SD,BTL,US,Leasehold,Y,2.54,13189.55,22452.12,7693914.04,13.99,Verso,Never calls
199712,6701277.26,2675878.06,4887533.48,82197808.22,126838820.31,122535475.4,94769.7,28435.1,6.45,12.01,90618315.15,20070201,P,Big Yacht,N,20401104,35.83,23950501,floating,FIX,3ML,5.91,1.47,0.52,21800529,ER,OT,N,N,N,OT,POW,US,Freehold,N,2.94,36009.83,98439.26,6186882.47,5.11,SPML,Instagram stalker
200005,2566596.36,2788354.49,8375339.86,52919383.17,119486992.2,94994755.69,27386.64,26041.84,14.84,17.97,175429232.19,20040924,B,Bank,Y,22200421,3.31,22990225,fixed,1ML,SVR,59.7,-0.82,-2.02,22690424,ER,IO,Y,Y,N,OT,ND,UK,Leasehold,Y,2.45,20723.27,90026.88,1174225.78,14.68,GMAC,Instagram stalker
199110,1172233.69,3091926.49,6128272.77,158329205.18,87946641.23,145742590.21,65354.36,28361.9,5.0,11.31,141302643.66,20091012,N,House,N,23281017,28.64,20331123,floating,1ML,SVR,89.17,1.84,-0.57,22840107,CO,ND,N,N,Y,ND,ND,US,Freehold,Y,1.21,5322.69,85176.59,6324103.86,11.56,GMAC,Instagram stalker
198808,7153912.39,5275822.9,3126791.32,134440808.74,64441666.49,186041707.77,63971.98,44930.11,10.35,16.35,198319366.12,19850103,N,Biggest Yacht,Y,22241212,46.07,22280221,fixed,OTH,1ML,80.5,-1.24,-1.94,21060922,RE,IO,Y,Y,Y,TH,OWN,US,Freehold,Y,0.57,84307.3,13070.97,1770898.08,10.4,Platform,Clingy
199607,5627079.66,1464834.79,9183904.41,92888233.95,96015555.64,135928925.63,98334.35,70124.28,15.73,6.8,103798410.8,20040401,P,Really Big Yacht,N,22570801,10.27,21931228,fixed,BBR,3ML,29.02,0.59,-0.63,20340820,ND,PP,N,N,N,DT,BTL,UK,Feudal,Y,0.45,40079.04,57143.58,9388600.1,5.53,Platform,Instagram stalker
198406,1770968.84,1237247.4,1952265.45,152715368.36,56198670.56,51670661.31,70781.51,43055.85,7.19,18.38,176135845.19,20060610,U,Awesome Yacht,Y,23931228,54.78,22641124,fixed,FIX,3ML,4.62,1.88,-0.2,21670705,CO,RE,N,N,Y,FD,OWN,UK,Leasehold,Y,1.78,72407.9,79443.4,1293630.6,5.46,GMAC,Clingy
199307,9435133.91,7677371.67,8441722.53,150913903.61,129586558.28,174320803.24,60850.52,29483.24,5.89,6.02,15100998.63,19861219,M,Yacht,Y,20011115,55.07,22630515,fixed,1ML,BBR,84.87,0.01,0.82,20830929,OT,RE,Y,Y,Y,ND,OWN,UK,Freehold,Y,3.8,27115.08,75156.32,7111430.81,11.94,SPML,Never calls
199204,6330180.27,9997849.31,9485561.98,77306963.55,24637916.56,166966560.1,73582.72,72064.63,9.27,9.19,66670310.25,19970308,L,Awesome Yacht,N,20720622,52.87,21810627,fixed,1ML,BBR,90.03,0.56,0.74,20801110,RD,IO,Y,Y,Y,BU,BTL,UK,Leasehold,N,2.16,87322.22,11981.38,6031332.92,4.8,Citibank,Instagram stalker
201407,2777707.19,4019356.26,5877972.73,90114969.87,228964.07,109062503.31,22254.24,67069.51,17.77,13.85,27744788.19,20000329,P,Really Big Yacht,Y,20690501,56.93,19990721,fixed,1ML,OTH,76.18,1.28,-1.75,21131224,RR,OT,Y,Y,Y,FD,SHO,UK,Leasehold,Y,2.34,23669.63,84355.95,9643193.21,13.36,Verso,Instagram stalker
200712,5531604.7,2808796.97,1332861.29,90903766.91,155047669.95,56728688.53,36428.46,79142.88,10.57,12.93,59224590.21,19920312,B,House,N,23621229,58.59,22250625,fixed,3ML,OTH,94.79,-1.33,-1.67,21790729,RE,RE,Y,N,Y,OT,OWN,US,Freehold,Y,1.21,93722.28,11031.47,5909928.77,4.65,GMAC,Clingy
200904,1731421.4,8205093.03,6371249.1,84859722.33,41462786.66,7732264.28,61381.87,79864.23,8.86,19.45,168825548.24,19880821,B,Awesome Yacht,Y,20190622,35.96,20300118,fixed,FIX,3ML,75.24,-1.55,0.4,22370207,RC,PP,N,N,Y,OT,POW,UK,Leasehold,Y,1.55,88865.72,52898.89,9244873.31,13.24,Verso,Clingy
199706,1659699.56,7026885.89,150077.17,103933004.18,92967799.05,193298944.68,10769.1,53142.6,11.58,19.29,62802301.12,19911201,P,Bungaloo,N,20240204,15.73,20821203,fixed,SVR,1ML,69.42,1.88,1.86,22030926,RR,PP,N,Y,Y,ND,POW,US,Freehold,Y,2.69,60161.57,50807.58,7483001.44,11.3,GMAC,Never calls
200106,8699665.4,9509971.44,5886608.95,102923529.98,18177800.69,80090205.55,17533.27,33492.75,5.27,16.56,182024088.05,20090802,M,Really Big Yacht,Y,22710213,21.96,22051013,fixed,FIX,1ML,50.08,1.74,-0.69,23760116,PU,RE,N,Y,Y,ND,OWN,US,Freehold,Y,3.31,98016.25,51830.2,6282150.37,7.88,Verso,Instagram stalker
198308,1572364.02,7535730.54,3791083.9,56077057.07,6505791.06,154674882.34,11585.83,40003.94,13.48,11.68,16113396.74,20100226,P,House,N,23140709,4.99,22741105,floating,3ML,1ML,67.37,-1.6,-2.07,23990309,CO,ND,N,Y,Y,SD,BTL,UK,Feudal,N,0.73,25372.27,17435.33,7968193.1,3.14,Platform,Super chill
199506,3724836.9,3960861.59,343512.56,41856328.36,151323016.0,119034537.73,61557.43,94462.14,15.23,13.26,175705207.16,19870102,B,Yacht,Y,22030613,57.48,21170806,fixed,FIX,BBR,80.95,1.28,1.91,20820516,OT,ND,N,Y,N,ND,SHO,US,Freehold,Y,2.97,71796.14,48372.2,3209687.75,4.76,Verso,Instagram stalker
200508,6823403.35,2368825.94,6255319.24,187560314.71,68500362.5,168406572.9,91455.3,7861.88,18.9,7.1,179123954.55,20110131,P,Bungaloo,Y,22320915,21.75,22490429,floating,3ML,OTH,39.5,1.26,-1.74,22291022,CO,ND,N,N,N,ND,SHO,US,Leasehold,Y,1.7,9411.04,10593.18,7615688.14,7.78,Kensington,Clingy
201706,7112325.83,9331526.91,8392259.53,117534081.06,182404285.58,85083666.95,59802.37,64307.58,16.99,7.43,132700591.06,20081015,M,House,Y,22580428,24.68,23090808,fixed,BBR,1ML,58.8,0.25,1.52,21360708,OT,ND,Y,Y,Y,BU,BTL,UK,Freehold,N,1.03,76927.09,6890.27,1441830.1,3.51,Platform,Never calls
200909,3696921.4,3652935.5,1953400.12,189942309.57,175636086.62,11503154.06,39701.13,21044.77,15.59,13.58,4603534.25,20011010,P,Big Yacht,Y,21081029,53.28,21350907,floating,OTH,FIX,35.84,1.52,0.08,23041210,ND,OT,N,N,Y,OT,SHO,US,Freehold,N,2.19,6551.06,34830.66,9177046.94,10.25,Platform,Clingy
198604,2066545.89,4161765.54,2154493.93,80145273.84,190537261.29,70524918.63,48772.89,97089.61,19.04,9.2,11972185.97,20100911,U,Bungaloo,Y,23720330,58.12,23811014,fixed,OTH,BBR,3.26,1.26,1.8,21011109,OT,ND,N,N,Y,FD,POW,US,Feudal,N,2.13,87336.89,37780.18,1274972.01,2.58,GMAC,Super chill
199211,5121765.49,159907.82,5432627.79,184774183.76,12933222.13,2291240.38,76725.76,97550.32,7.54,13.98,111589300.9,20090218,P,Really Big Yacht,N,23830604,2.98,21820720,fixed,3ML,SVR,64.67,1.01,1.84,20500119,ER,PP,N,N,Y,OT,POW,UK,Feudal,Y,3.66,60586.04,11487.12,1491604.92,13.62,GMAC,Somewhat possessive
199704,5925454.03,540503.57,5086287.05,99809009.38,137645987.84,119791350.9,31746.92,34979.36,19.35,16.3,122664150.54,19890422,B,Yacht,N,20440712,43.56,20630413,floating,OTH,SVR,62.71,1.08,-0.03,23200813,PU,PP,N,Y,Y,BU,ND,US,Freehold,Y,3.68,46031.85,571.31,5822561.29,11.25,Kensington,Super chill
199809,7730877.91,5629164.49,4973897.87,37559722.62,106754880.54,2784594.97,59701.25,62902.41,6.72,8.7,108454695.61,19890628,B,Big Yacht,Y,20091218,43.49,23520717,floating,FIX,BBR,50.46,0.18,-0.97,23870521,CO,RE,Y,N,N,TH,POW,US,Freehold,Y,1.69,4094.78,94147.41,4625447.57,8.94,Verso,Never calls
