Loan ID,Loan Grade,Exception IDs
9742242.06,92,2|3
9589172.7,100,
2295748.01,83,1|2|3
5189695.46,100,
5524296.62,96,1
7233846.54,93,1|2
2521479.14,96,1
8149554.84,96,1
2675878.06,99,2
2788354.49,100,
3091926.49,96,1
5275822.9,100,
1464834.79,94,1|3
1237247.4,95,1|2
7677371.67,100,
9997849.31,94,3
4019356.26,94,1|3
2808796.97,96,1
8205093.03,97,2
7026885.89,100,
9509971.44,94,1|2
7535730.54,94,1|3
3960861.59,83,1|2|3
2368825.94,98,3
9331526.91,92,3
3652935.5,98,3
4161765.54,100,3
159907.82,96,1
540503.57,90,3
5629164.49,97,2
2617818.23,92,3
1574873.93,96,3
95512.65,92,3
9264785.21,92,1|3
4237328.32,98,3
3969340.45,94,3
7515699.76,96,1|3
7241766.08,100,
699657.93,94,3
2414480.55,96,1|3
8551549.88,92,3
5102100.44,96,1
2244619.06,100,
6541910.78,86,1|3
6090222.11,100,
1637949.85,83,1|2|3
3729892.89,96,1
2208906.2,90,3
9658980.19,90,3
5402398.49,96,1
9094163.22,94,3
7414802.35,92,1|3
1479186.88,96,1
3136204.47,94,1|3
3343978.56,40,3|4
8296702.21,100,3
7680024.06,96,1
6771396.68,96,1
6697636.73,99,2
2766792.25,96,3
4974272.27,86,1|3
9560057.88,10,3|4
4637186.48,98,3
5118159.65,100,3
9702107.13,88,1|3
6277323.5,94,1|3
341384.99,94,1|3
6736253.33,88,1|3
9625358.94,96,1
8881067.03,96,3
5454163.0,96,1
9688300.39,92,1|3
1149973.89,100,
6812.54,96,1
7461360.65,96,1
4173403.45,92,1|3
9081139.84,100,
8110367.61,96,1
6343367.69,96,1
3702931.35,90,3
6313559.94,88,1|3
8227186.15,96,1
892668.92,100,3
6306929.38,100,
6218502.14,95,2|3
9366970.23,100,
5344563.0,90,3
7958621.77,92,1|3
479083.27,92,3
86924.92,96,1
2898961.85,95,1|2|3
4775770.37,96,1
3144661.24,96,1|3
1806573.03,100,3
6416041.16,96,1
4119264.82,88,1|3
6139550.9,55,1|2|4
1311905.64,100,
8509071.76,94,1|3
444169.9,92,1|3
514323.57,96,3
5018452.46,100,
8382927.32,98,2
4224276.56,92,1|3
4321329.45,96,1
6254535.38,98,3
2470466.97,91,1|2|3
2756302.52,96,1
8836625.45,100,
